city,date,fare,ride_id
Lake Jonathanshire,1/14/19 10:14,13.83,5.74E+12
South Michelleport,3/4/19 18:24,30.24,2.34E+12
Port Samanthamouth,2/24/19 4:29,33.44,2.01E+12
Rodneyfort,2/10/19 23:22,23.44,5.15E+12
South Jack,3/6/19 4:28,34.58,3.91E+12
South Latoya,3/11/19 12:26,9.52,2.00E+12
New Paulville,2/27/19 11:17,43.25,7.93E+11
Simpsonburgh,4/26/19 0:43,35.98,1.12E+11
South Karenland,1/8/19 3:28,35.09,8.00E+12
North Jasmine,3/9/19 6:26,42.81,5.33E+12
New Kimberlyborough,2/7/19 1:10,9.34,7.99E+12
West Angela,1/12/19 1:45,26.86,4.82E+12
Rodneyfort,3/2/19 18:03,44.26,2.49E+12
West Angela,1/10/19 12:17,12.74,2.11E+12
Roberthaven,5/4/19 14:48,25.66,1.03E+12
North Jason,3/28/19 22:28,9.19,7.01E+12
Williamsview,1/3/19 16:19,18.93,1.98E+12
Leahton,2/26/19 18:42,8.85,6.97E+12
West Anthony,3/6/19 2:27,10.02,9.40E+12
New Kimberlyborough,4/25/19 22:58,29.67,4.82E+12
Roberthaven,2/24/19 10:26,7.8,2.18E+12
New Paulton,5/1/19 3:12,8.28,8.53E+12
West Patrickchester,3/19/19 5:46,40.86,8.99E+11
Deanville,4/25/19 3:29,41.52,6.06E+12
West Josephberg,2/19/19 16:22,36.39,3.32E+12
West Samuelburgh,5/3/19 14:33,41.12,7.33E+12
West Heidi,3/14/19 23:46,24.4,4.91E+12
Loganberg,4/1/19 1:06,8.23,6.79E+11
Huntermouth,2/10/19 23:32,25.79,1.88E+12
South Latoya,1/11/19 18:44,27.41,8.66E+12
New Paulville,3/18/19 22:54,25.05,5.03E+12
Grahamburgh,1/15/19 11:44,40.69,3.07E+11
Port Frank,2/2/19 14:14,41.47,6.75E+12
East Kaylahaven,2/28/19 4:13,25.96,3.66E+12
Rodneyfort,2/3/19 0:48,44.86,2.33E+12
South Karenland,2/12/19 6:52,36.01,4.02E+12
West Robert,2/15/19 4:21,12.28,1.44E+12
North Markport,2/18/19 8:17,38.09,9.25E+11
Williamsview,3/12/19 6:47,8.35,1.94E+12
Richardfort,2/24/19 8:40,13.93,5.63E+12
New Kimberlyborough,3/14/19 16:47,27.9,6.75E+12
Reynoldsfurt,3/25/19 14:33,34.06,6.60E+12
South Karenland,5/8/19 2:31,41.33,5.69E+12
Rodneyfort,4/25/19 20:57,21.7,8.53E+12
Justinberg,4/23/19 8:59,14.65,9.88E+12
West Josephberg,3/5/19 3:27,12.91,1.03E+11
South Karenland,3/3/19 14:48,37.3,4.10E+12
Leahton,5/5/19 10:34,17.05,5.85E+12
Martinezhaven,3/19/19 15:31,5.3,2.64E+11
North Jason,3/3/19 2:13,28.02,2.67E+12
Jerryton,3/3/19 17:50,28.08,6.00E+12
Lake Scottton,2/18/19 9:22,25.02,3.91E+12
South Evanton,2/14/19 5:55,42.5,9.95E+12
Rogerston,5/8/19 1:54,32.69,1.64E+12
West Samuelburgh,5/2/19 13:55,38.77,2.93E+12
West Ericstad,4/24/19 3:20,7.31,4.29E+12
New Paulville,3/10/19 10:45,4.43,1.21E+12
Hurleymouth,5/4/19 21:50,21.44,4.04E+12
West Samuelburgh,3/3/19 3:17,25.17,1.78E+12
Joneschester,3/1/19 18:48,34.71,3.34E+12
New Paulville,4/3/19 7:51,32.7,9.56E+12
Simpsonburgh,1/19/19 23:06,15.83,2.33E+11
Port Angela,4/17/19 6:23,16.34,7.12E+12
West Ericstad,4/4/19 13:03,28.52,6.43E+12
New Kimberlyborough,3/16/19 1:38,17.19,2.77E+12
Joneschester,1/30/19 17:41,36.78,1.66E+12
North Markport,4/26/19 4:45,44.37,1.63E+12
Hurleymouth,3/22/19 11:19,32.85,8.45E+12
Barajasview,1/15/19 2:59,19.52,8.27E+12
Grahamburgh,4/6/19 13:48,23.87,1.47E+12
South Michelleport,3/2/19 9:54,33.12,8.14E+11
Loganberg,1/7/19 19:02,16.26,9.05E+12
West Christopherberg,3/18/19 17:14,12.64,1.06E+12
Rogerston,2/23/19 19:13,14.04,7.65E+12
Huntermouth,2/24/19 7:57,39.12,9.28E+11
New Jacobville,2/9/19 2:17,7.11,3.86E+12
Lake Jonathanshire,4/7/19 20:51,31.25,4.44E+12
Port David,3/17/19 14:42,33.11,1.03E+12
Martinezhaven,2/20/19 19:32,13.34,2.76E+12
Port Frank,4/19/19 19:35,26.47,6.72E+12
Valentineton,3/2/19 14:44,39.77,6.77E+12
Hurleymouth,3/3/19 11:28,36.31,1.67E+11
Carriemouth,2/25/19 8:26,32.37,6.92E+12
Port Samanthamouth,4/16/19 18:34,9.2,8.71E+12
Williamsstad,1/23/19 17:51,19.62,1.26E+11
Royland,1/7/19 2:23,24.5,3.62E+12
New Jacobville,1/5/19 5:02,34.11,2.83E+12
Roberthaven,3/6/19 22:56,12.38,3.37E+12
South Evanton,1/7/19 18:47,43.61,9.12E+12
New Paulton,5/3/19 12:09,21.67,9.09E+12
Karenberg,3/11/19 17:26,36.15,7.80E+12
Rodneyfort,1/30/19 12:34,16.99,5.78E+12
East Kaylahaven,4/4/19 2:35,23.18,57422927996
Huntermouth,2/19/19 3:19,7.05,1.62E+12
Barajasview,1/23/19 13:23,37.68,4.11E+12
Williamsstad,3/29/19 21:43,35.58,4.75E+12
North Jason,3/8/19 20:06,25.21,3.18E+12
Christopherfurt,4/17/19 2:25,23.3,7.82E+12
Liumouth,1/11/19 17:15,36.78,1.46E+12
Johnton,1/17/19 2:12,32.19,8.53E+12
West Angela,3/8/19 1:08,41.06,6.20E+12
Jerryton,1/4/19 16:38,37.2,5.64E+12
Erikaland,2/18/19 7:47,20.62,3.29E+12
North Jason,2/7/19 7:27,20,4.74E+11
Lake Scottton,5/5/19 11:21,18.77,4.05E+11
Simpsonburgh,3/22/19 8:56,22.05,3.50E+12
Raymondhaven,3/12/19 6:59,16.98,6.45E+12
West Robert,4/5/19 3:18,44.58,4.25E+12
North Jason,3/18/19 10:10,6.41,2.87E+12
Port Samanthamouth,1/23/19 9:08,35.51,3.12E+12
West Robert,1/21/19 17:21,27.11,1.37E+12
Jerryton,1/5/19 15:36,37.91,1.59E+12
Port Samanthamouth,2/3/19 7:07,18.03,9.29E+12
Liumouth,1/15/19 7:55,14.55,4.38E+12
West Heidi,4/3/19 3:16,24.76,1.82E+12
Loganberg,1/21/19 16:26,22.86,1.95E+12
Grahamburgh,2/17/19 9:54,30.25,4.05E+12
Raymondhaven,5/6/19 23:22,25.76,8.72E+12
Karenside,1/25/19 15:35,14.52,2.65E+12
Port Frank,4/6/19 21:38,18.08,5.47E+12
Leahton,4/2/19 17:39,22.76,5.81E+12
Port Samanthamouth,4/22/19 3:32,29.67,3.15E+12
Jerryton,4/13/19 21:47,32.08,8.50E+12
West Patrickchester,3/7/19 15:47,23.66,3.07E+12
West Samuelburgh,3/3/19 16:07,27.48,1.01E+11
North Markport,3/31/19 13:58,29.41,3.09E+12
West Angela,3/10/19 11:23,27.1,1.37E+12
Grahamburgh,3/12/19 2:44,22.97,4.90E+12
South Michelleport,1/8/19 9:38,23.77,4.92E+12
East Kaylahaven,4/2/19 7:05,9.67,2.09E+12
South Karenland,4/22/19 21:37,22.86,6.73E+12
Lake Danielberg,2/24/19 12:05,9.63,9.15E+12
Justinberg,4/26/19 8:41,8.83,1.82E+12
Karenberg,4/29/19 20:54,28.41,9.05E+12
